mode,time,x,y,theta,linear_vel,angular_vel,pos_err,ang_err,err_it,err_ct,leader_x,leader_y,hdg_to_leader
3,23.999688287,2.693996971756449,12.565014533886846,3.7404587531803473,0.256553987246981,0.09102323923033673,1.2827699362349048,0.09102323923033673,0.0,0.0,-2.1374917554761366,8.54322773165667,-2.447398654000535
3,24.099984088,2.6678991486486647,12.56501696972653,3.7426404147453405,0.25726771061645215,0.09314623843371095,1.2863385530822606,0.09314623843371095,0.0,0.0,-2.1519775185181547,8.524745070795902,-2.4439584924965563
3,24.199536323,2.6470208886550046,12.565018918082238,3.7448220763103333,0.2578554464482416,0.09440473837269714,1.2892772322412078,0.09440473837269714,0.0,0.0,-2.1635661292030086,8.509958942423323,-2.441208702427043
3,24.29952706,2.630318281665032,12.565020476924825,3.7491853994403193,0.25833634394902455,0.09279120531222418,1.2916817197451227,0.09279120531222418,0.0,0.0,-2.1728370172484133,8.498130038777155,-2.4390103960570295
3,24.399839208,2.6169561945656206,12.56502172368286,3.756821214917794,0.2587279080305999,0.08735369620476252,1.2936395401529994,0.08735369620476252,0.0,0.0,-2.1802537271822593,8.488666916176255,-2.4372527419473986
3,24.500328117,2.6062665253885693,12.56502272156334,3.76118453804778,0.2590455361105651,0.084748027184407,1.2952276805528253,0.084748027184407,0.0,0.0,-2.1861870951293367,8.481096418095536,-2.4358472604287686
3,24.601244673,2.597714791051884,12.565023519551687,3.7644570303952696,0.2593024379706629,0.08288101635554845,1.2965121898533143,0.08288101635554845,0.0,0.0,-2.190933790240715,8.475040019946995,-2.4347232900162563
3,24.700581385,2.597714791051884,12.565023519551687,3.767729522742759,0.259509750056017,0.0807324944205714,1.297548750280085,0.0807324944205714,0.0,0.0,-2.1947311465810566,8.470194901744199,-2.434530065838771
3,24.800978138,2.426286011010215,12.484964321641355,3.7699111843077517,0.26071661326960655,0.07874405703306309,1.3035830663480326,0.07874405703306309,0.0,0.0,-2.250807124545835,8.399601850099529,-2.423622349181474
3,24.900739622,2.365333555465557,12.456498828910554,3.773183676655241,0.24202071999701946,0.08637928134287165,1.2101035999850973,0.08637928134287165,0.0,0.0,-2.2956679069176573,8.343127408783793,-2.4185260828189823
3,25.000961391,2.31657159102983,12.433726434725918,3.7764561690027305,0.2432981793963041,0.08820305535787298,1.2164908969815205,0.08820305535787298,0.0,0.0,-2.33155653181016,8.297947855731206,-2.4144566859670675
3,25.101736177,2.277562020234966,12.415508519536221,3.7819103229152127,0.2443433529505839,0.08681829829730603,1.2217167647529195,0.08681829829730603,0.0,0.0,-2.3602674327291178,8.261804213921204,-2.411206129334948
3,25.198524925,2.2463543638503127,12.400934187542484,3.7862736460451987,0.24519430601438047,0.08570553179943907,1.2259715300719023,0.08570553179943907,0.0,0.0,-2.383236153464283,8.232889300473206,-2.408608902478779
3,25.301903852,2.2213882387425907,12.389274721315422,3.791727799957681,0.2458845297800849,0.08284860474312694,1.2294226489004245,0.08284860474312694,0.0,0.0,-2.4016111295499383,8.209757369082734,-2.406533202906658
3,25.39892048,2.201415338153935,12.37994714928188,3.79500029230517,0.2464427537090865,0.08165181196775784,1.2322137685454324,0.08165181196775784,0.0,0.0,-2.4163111101672237,8.191251824918464,-2.404873986897429
3,25.499751626,2.1854370176830105,12.372485090706942,3.797181953870163,0.24689319625810296,0.08112936641199475,1.2344659812905148,0.08112936641199475,0.0,0.0,-2.428071094661052,8.176447388638941,-2.4035474798159
3,25.599581132,2.17265436155751,12.366515444163023,3.8004544462176524,0.2472560202274524,0.07918338114603429,1.236280101137262,0.07918338114603429,0.0,0.0,-2.437479082507353,8.164603839931358,-2.402486831194807
3,25.699038711,2.17265436155751,12.366515444163023,3.8037269385651418,0.24754785883126865,0.07697153741963803,1.2377392941563432,0.07697153741963803,0.0,0.0,-2.445005473286872,8.15512900112331,-2.402177599906204
3,25.799407689,2.0269559124883343,12.357919153392611,3.8091810924776244,0.2499369283760478,0.07182661479575803,1.249684641880239,0.07182661479575803,0.0,0.0,-2.50406467930547,8.103071159847378,-2.387617870740243
3,25.900131454,1.975152019290553,12.354862694469578,3.8124535848251138,0.2431231483877273,0.0831138516142289,1.2156157419386364,0.0831138516142289,0.0,0.0,-2.55131204386911,8.061424886668616,-2.3826088495218603
3,25.99997308,1.933708904732328,12.352417527805205,3.8168169079550993,0.24775775092011526,0.08375954970262711,1.2387887546005762,0.08375954970262711,0.0,0.0,-2.589109936022499,8.028107868125606,-2.378628422056442
3,26.100375321,1.9005544133369865,12.350461394473705,3.823361892650078,0.2514878233380479,0.0811949924730655,1.2574391166902394,0.0811949924730655,0.0,0.0,-2.619348249996449,8.001454252975162,-2.3754611621209722
3,26.200130478,1.8740308207231915,12.348896487176434,3.827725215780064,0.254486081274942,0.0799989292785499,1.2724304063747098,0.0799989292785499,0.0,0.0,-2.643538901175609,7.9801313611708435,-2.3729382537586505
3,26.300391995,1.8528119461296775,12.347644561970688,3.8320885389100496,0.2568937094029781,0.07815851451088562,1.2844685470148907,0.07815851451088562,0.0,0.0,-2.662891421365221,7.963073047885405,-2.370926885305189
3,26.401355479,1.835836846706105,12.346643021806091,3.835361031257539,0.2588255520973965,0.07689739061685863,1.2941277604869823,0.07689739061685863,0.0,0.0,-2.678373438270627,7.949426397099037,-2.369322235117205
3,26.5006738,1.8222567671672474,12.34584178935838,3.839724354387525,0.2603746830461141,0.07413871767485603,1.3018734152305704,0.07413871767485603,0.0,0.0,-2.6907590515437128,7.93850907662796,-2.36804135485432
3,26.600819012,1.8113927030336834,12.345200803242193,3.8429968467350144,0.2616163191816922,0.07214710559025228,1.3080815959084608,0.07214710559025228,0.0,0.0,-2.70066754241342,7.929775219777046,-2.3670184657156574
3,26.700608932,1.8113927030336834,12.345200803242193,3.846269339082504,0.2626111157702155,0.06989750238142456,1.3130555788510776,0.06989750238142456,0.0,0.0,-2.7085943351091863,7.922788134138298,-2.3671054872547574
3,26.800941878,1.7639255948956005,12.34427778276083,3.851723492994986,0.26472157632943355,0.06435632692984328,1.3236078816471677,0.06435632692984328,0.0,0.0,-2.7856532266232987,7.894959481144622,-2.3673354522846966
3,26.901143955,1.7470484007513714,12.343949597806136,3.8539051545599787,0.2727152203428737,0.06194470033491051,1.3635761017143686,0.06194470033491051,0.0,0.0,-2.847300340085827,7.872696558275629,-2.3697719823473027
